study_hours,attendance,previous_marks,assignment_score,internal_marks,participation,final_marks
4.4,84.9,50.2,71.1,54.4,8.4,71.4
9.6,76.8,69.8,68.8,53.6,7.9,85.8
7.6,65.5,88.0,41.5,89.8,6.2,86.7
6.4,90.7,80.3,60.5,53.7,9.6,75.9
2.4,84.2,84.4,62.8,55.0,2.8,71.1
2.4,58.1,76.2,63.9,81.8,2.0,68.8
1.5,95.5,78.1,74.8,64.7,8.7,72.0
8.8,91.1,86.7,72.0,82.7,5.0,95.3
6.4,97.5,53.7,76.5,43.6,8.6,69.3
7.4,86.3,66.9,85.9,66.8,9.0,87.7
1.2,80.7,52.2,88.8,41.8,1.6,54.0
9.7,70.9,94.3,83.1,43.4,9.0,86.4
8.5,96.6,91.9,97.3,89.9,5.0,98.6
2.9,93.3,42.2,41.1,47.7,5.6,58.1
2.6,52.3,78.8,51.7,69.3,6.6,63.2
2.7,51.3,90.9,40.5,62.6,9.3,70.1
3.7,68.8,49.9,78.8,59.1,1.2,61.7
5.7,90.5,71.2,93.9,89.5,5.3,84.4
4.9,99.4,90.4,54.6,41.2,7.2,71.2
3.6,57.5,41.9,95.6,76.5,7.5,73.9
6.5,79.7,78.4,43.6,93.0,7.2,82.9
2.3,69.0,56.4,96.1,70.8,2.2,66.5
3.6,98.5,90.8,61.1,91.5,3.7,84.0
4.3,92.1,93.4,46.1,42.9,4.2,71.5
5.1,91.9,91.9,69.2,63.0,8.2,86.6
8.1,73.4,66.1,55.4,54.3,3.5,78.5
2.8,70.7,87.4,57.1,80.2,2.9,71.3
5.6,63.7,86.5,58.4,94.0,9.6,81.2
6.3,52.8,57.6,88.2,54.1,1.1,68.6
1.4,93.2,85.6,72.3,76.0,10.0,78.2
6.5,90.6,42.0,58.7,50.9,7.1,65.4
2.5,100.0,72.8,76.6,71.1,8.5,74.0
1.6,99.8,52.7,83.0,65.5,3.7,67.9
9.5,77.8,46.6,56.4,93.5,1.1,82.2
9.7,88.4,44.2,64.8,73.5,7.6,83.8
8.3,97.2,78.3,47.3,59.2,8.5,81.1
3.7,92.5,58.7,50.9,46.3,7.7,62.8
1.9,62.4,79.9,80.9,48.3,2.3,60.6
7.2,72.5,43.6,50.9,52.4,7.8,69.5
5.0,56.5,57.3,71.5,53.8,7.9,70.0
2.1,97.7,69.7,82.5,86.8,6.9,73.4
5.5,80.3,83.5,46.4,70.9,7.9,74.7
1.3,61.4,57.5,74.0,68.8,8.6,58.7
9.2,83.6,74.4,55.4,46.3,6.5,78.1
3.3,80.9,88.7,97.8,87.3,1.8,84.7
7.0,67.9,73.9,69.0,79.8,5.4,78.1
3.8,55.7,52.8,88.4,43.7,1.7,57.8
5.7,83.6,41.3,73.0,78.9,4.7,70.7
5.9,76.0,87.9,42.6,69.9,4.7,77.1
2.7,88.6,41.2,78.0,44.5,1.6,58.0
9.7,76.0,88.1,97.1,65.2,4.1,93.4
8.0,92.6,69.1,76.1,66.7,2.0,84.5
9.5,77.6,91.6,89.2,49.1,8.3,90.8
9.1,78.0,83.9,93.1,92.0,9.5,100.0
6.4,93.8,94.9,53.7,86.7,1.7,92.0
9.3,70.2,59.3,52.7,76.8,9.6,87.2
1.8,56.7,82.2,76.7,65.4,5.7,64.2
2.8,51.4,62.1,64.7,62.6,3.7,63.1
1.4,87.8,66.4,90.4,75.8,1.7,73.6
3.9,81.0,74.5,94.0,70.0,5.5,76.2
4.5,85.2,88.1,61.2,43.4,8.2,75.7
3.4,60.6,94.1,54.2,68.2,7.4,77.4
8.5,56.8,82.3,86.8,84.4,1.5,86.0
4.2,50.7,63.0,56.5,65.3,1.7,59.6
3.5,67.5,63.2,89.4,42.9,4.6,68.7
5.9,79.5,80.6,65.4,83.2,3.7,83.3
2.3,69.6,53.1,80.1,51.1,3.1,61.4
8.2,71.9,46.1,45.7,54.2,3.5,68.3
1.7,95.2,59.5,77.4,49.1,8.2,66.4
9.9,67.4,55.8,67.1,58.2,9.4,77.4
8.0,75.7,56.3,75.2,81.6,4.6,86.2
2.8,89.2,52.8,50.1,68.6,9.2,68.8
1.0,69.8,42.3,84.2,51.3,3.9,54.6
8.3,81.1,41.0,91.8,88.3,5.3,86.2
7.4,93.1,94.3,53.0,88.4,3.0,85.6
7.6,97.5,63.5,45.7,87.9,6.8,85.4
7.9,57.4,61.1,41.4,53.1,9.8,71.9
1.7,96.3,77.4,78.5,64.8,6.4,72.9
4.2,74.6,52.0,76.4,94.2,4.2,79.1
2.0,62.9,92.2,72.8,82.5,6.8,75.2
8.8,73.0,83.2,53.9,41.5,2.1,77.6
6.6,99.0,44.9,63.5,43.6,9.0,67.6
4.0,74.6,63.0,75.7,65.5,5.5,71.1
1.6,66.4,88.4,69.8,90.0,5.0,74.4
3.8,81.7,92.0,99.3,69.6,6.3,85.8
3.9,62.0,65.7,48.2,67.4,6.6,64.2
7.6,53.8,73.7,81.7,45.8,1.6,73.6
6.7,56.4,49.2,64.3,76.1,7.1,75.5
9.0,56.4,94.5,65.7,85.2,3.2,89.3
5.2,57.6,52.7,83.1,60.9,7.4,65.7
2.1,56.9,91.9,81.5,82.7,8.4,83.1
7.4,82.0,75.7,99.5,93.0,8.2,100.0
7.8,59.1,73.4,47.7,51.2,6.0,68.3
6.1,67.3,68.2,46.2,68.8,5.7,73.6
7.9,94.8,52.7,83.5,55.8,2.3,77.5
5.4,73.7,49.7,74.7,83.6,8.0,77.7
5.7,83.4,52.1,56.4,71.8,3.4,71.6
4.8,58.6,50.3,44.8,74.9,5.5,63.2
1.2,59.6,82.9,45.1,83.9,3.6,62.2
2.0,52.0,59.3,93.7,61.8,2.2,60.8
1.3,58.4,43.2,51.5,90.3,6.7,56.2
6.7,63.9,93.3,59.4,69.3,1.5,77.2
3.8,58.9,88.6,53.6,48.7,7.7,67.1
5.6,54.4,91.0,61.3,78.3,3.9,76.5
9.2,56.0,94.7,44.2,83.6,1.0,87.3
3.2,73.0,49.6,71.1,57.4,5.6,67.3
4.7,60.3,61.8,44.1,87.1,1.4,65.8
7.8,68.2,81.7,88.0,89.8,3.5,92.7
3.1,75.2,78.3,54.0,55.2,7.4,68.3
1.7,84.5,48.5,72.4,94.1,1.6,69.2
3.6,52.0,84.9,92.8,47.7,8.6,73.0
2.5,90.0,52.3,79.1,51.1,1.0,64.0
9.4,81.4,52.3,72.0,50.1,3.2,78.7
8.3,54.1,69.5,59.5,89.2,7.7,80.5
6.7,93.7,72.6,60.0,76.0,3.8,84.5
8.8,96.0,71.9,80.2,48.4,1.9,86.2
8.2,53.1,45.0,99.6,64.2,4.2,75.6
2.7,63.8,88.3,79.7,73.8,3.4,74.6
9.0,90.3,54.6,73.5,44.6,8.6,82.0
5.9,87.4,47.1,83.8,88.5,3.8,79.7
8.3,59.2,88.9,67.9,84.2,8.1,93.7
9.1,60.5,92.6,43.6,67.8,9.0,92.1
3.9,68.5,87.4,73.7,93.2,4.9,79.9
2.0,74.2,84.5,97.5,63.0,9.2,72.9
3.1,80.9,76.0,50.5,94.1,4.4,75.5
4.8,68.4,70.3,81.4,76.7,9.7,82.4
8.4,73.1,44.8,52.1,74.9,1.8,72.4
8.7,87.4,62.5,72.1,49.1,7.2,85.3
1.1,51.8,60.5,45.8,88.5,5.4,55.5
5.6,62.6,54.3,67.0,63.5,4.5,70.6
4.8,85.7,79.8,85.4,48.9,6.7,75.5
3.0,94.8,67.3,60.9,40.7,7.3,69.7
2.1,75.6,44.5,79.9,70.8,1.0,67.8
4.0,76.6,52.1,87.7,69.0,2.5,68.4
9.5,55.4,77.6,95.6,79.6,7.4,92.5
3.9,72.4,44.2,54.1,89.0,7.0,70.8
5.7,76.6,86.8,64.0,44.4,9.7,74.9
7.3,62.1,67.2,49.1,80.2,7.8,78.1
4.3,63.5,66.4,99.5,50.3,9.6,74.2
9.7,68.9,72.6,95.6,87.2,7.3,91.7
9.7,51.0,85.4,72.4,85.0,3.7,90.7
3.3,66.1,59.1,90.5,69.7,1.9,67.3
5.5,60.6,77.3,71.3,79.1,8.0,78.7
3.7,66.4,71.1,77.4,57.3,6.8,74.5
3.6,56.0,54.7,45.3,65.9,1.4,53.5
1.3,94.5,88.3,85.3,85.2,4.2,82.5
6.5,79.7,83.9,47.7,65.3,9.6,78.9
5.5,84.0,76.2,89.6,59.7,5.5,80.2
1.5,89.5,86.8,86.9,67.2,4.9,77.8
3.5,74.9,87.7,82.5,85.6,5.1,83.4
9.2,54.3,79.0,42.2,58.4,2.9,77.0
3.2,76.9,86.0,58.2,49.6,4.3,70.0
2.3,79.3,78.4,55.8,79.2,4.3,69.4
5.4,87.3,77.4,61.6,85.4,1.5,78.5
9.9,71.6,74.0,45.3,45.5,7.9,75.1
3.2,56.4,81.4,96.2,53.2,4.7,69.2
7.0,64.2,48.7,73.2,47.8,8.4,79.1
7.9,68.2,88.4,58.3,59.1,8.7,86.5
3.1,82.3,88.0,63.8,64.8,2.9,68.5
7.6,78.5,41.6,66.8,81.2,6.9,74.2
4.3,67.8,85.4,76.0,75.8,5.3,80.5
6.7,99.3,47.1,70.9,74.2,8.9,82.2
6.7,80.3,58.4,95.2,59.4,2.9,80.4
5.8,61.9,80.9,69.8,86.3,7.1,82.4
1.8,55.1,48.8,99.5,65.9,6.5,64.2
8.5,57.6,85.0,91.1,93.9,3.7,95.7
3.9,62.3,85.8,52.5,74.9,2.2,71.1
2.7,58.0,67.9,95.8,46.9,6.9,60.1
1.4,59.3,40.4,47.0,77.2,7.6,54.2
6.3,64.3,55.8,89.0,57.9,3.8,71.0
7.1,58.7,73.9,62.8,77.7,6.8,81.0
1.1,94.8,94.0,92.7,43.8,4.6,81.3
5.6,54.0,74.7,92.1,49.6,7.4,76.4
3.0,76.2,54.3,88.4,87.1,2.8,72.5
6.8,70.5,74.9,87.4,52.5,9.0,84.2
2.6,99.1,69.7,58.3,86.0,3.6,75.1
7.2,55.6,82.9,44.9,55.4,4.3,73.3
4.5,69.9,45.9,64.2,75.4,1.5,67.4
9.4,98.5,81.9,50.4,78.2,2.0,95.6
2.2,93.3,69.8,81.7,68.2,5.6,69.8
4.1,90.9,93.0,60.8,56.8,3.4,76.5
2.0,62.9,58.8,98.5,51.7,8.5,63.3
9.3,58.5,74.8,78.5,41.8,1.1,79.2
8.9,83.4,91.3,89.3,56.7,4.4,89.1
3.3,96.5,45.6,48.0,75.9,4.0,63.5
6.9,77.8,91.5,91.7,91.6,1.2,92.9
8.4,78.6,77.8,95.4,87.9,2.1,97.2
6.0,64.0,43.7,69.2,82.1,4.7,75.0
